"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","chr","pos","strand","UCSC_RefGene_Name","UCSC_RefGene_Group","Relation_to_Island","chr_numeric","pos_mbp"
"cg25191850",0.768958270647934,-0.805172992472911,11.4705584687725,1.91572356150009e-23,9.18372848487485e-19,42.5666016791383,"chr1",233749633,"+","KCNK1","TSS200","Island",1,233.749633
"cg24674635",0.439063054265042,-1.95972258192039,11.4506984742953,2.19290165957881e-23,1.00948785444846e-18,42.4344891501845,"chr20",6750696,"-","BMP2","5'UTR","Island",20,6.750696
"cg03441304",0.468116883489373,-2.85132013764451,11.4488386972681,2.22082298581822e-23,1.01382174287664e-18,42.4221194569111,"chr10",28821754,"+","WAC;WAC;WAC","TSS1500;TSS1500;Body","Island",10,28.821754
"cg05827732",0.770812899385603,-1.29558185525936,11.4189878934497,2.72075289406674e-23,1.20347135695338e-18,42.2236217636398,"chr3",96533699,"-","EPHA6","1stExon","S_Shore",3,96.533699
"cg09008896",0.739103798079837,-2.40738903634035,11.4188052313617,2.72413446128713e-23,1.20347135695338e-18,42.2224073858228,"chr17",57410172,"+","YPEL2","5'UTR","S_Shore",17,57.410172
"cg09248007",0.832074034662181,-2.06507276101311,11.4191391219582,2.71795641672275e-23,1.20347135695338e-18,42.2246271665277,"chr16",14164860,"+","MKL2","TSS1500","Island",16,14.16486
"cg14522884",0.658251750923156,-1.93486126735264,11.4189542223246,2.72137592223418e-23,1.20347135695338e-18,42.2233979103379,"chr1",235490708,"-","GGPS1;GGPS1;ARID4B;GGPS1;ARID4B","TSS1500;TSS1500;5'UTR;TSS1500;5'UTR","Island",1,235.490708
"cg18239753",0.538087382497064,-2.13593279844811,11.4136691379576,2.82095355648093e-23,1.23627425809707e-18,42.1882628235688,"chr6",62995963,"+","KHDRBS2;KHDRBS2","1stExon;5'UTR","Island",6,62.995963
"cg05372578",0.64138914373146,-2.02502141551776,11.4033944360923,3.02506500300157e-23,1.31137811339349e-18,42.1199646461037,"chr7",8301660,"+","ICA1;ICA1;ICA1;ICA1","5'UTR;1stExon;5'UTR;5'UTR","Island",7,8.30166
"cg23452443",0.665749345956617,-1.26297519243391,11.3935797078088,3.2337838232663e-23,1.38398033045882e-18,42.0547336085313,"chr1",65210737,"+","RAVER2","TSS200","Island",1,65.210737
"cg13373360",0.829191550091838,-1.42499224600757,11.3923397189178,3.26115570106704e-23,1.38487548451617e-18,42.0464930149625,"chr4",149364881,"+","NR3C2;NR3C2","TSS1500;TSS1500","Island",4,149.364881
"cg24642825",0.450833481044482,-1.82136343442054,11.3773935784167,3.60984411871135e-23,1.5013589738759e-18,41.9471773406417,"chr15",89248793,"+","","","OpenSea",15,89.248793
"cg26959358",0.470462431326241,-1.60389251133689,11.3638631310662,3.95747411723766e-23,1.60588047566074e-18,41.8572878512688,"chr8",93107604,"-","RUNX1T1","TSS200","OpenSea",8,93.107604
"cg23842572",0.467193391329775,1.49385782512175,11.3621361482149,4.00418363325897e-23,1.61288714713319e-18,41.8458159552838,"chr17",17030253,"+","MPRIP;MPRIP","Body;Body","OpenSea",17,17.030253
"cg25107254",0.652864520583265,-0.0249370466901668,11.358281658392,4.11042907966053e-23,1.64359758908087e-18,41.8202126596333,"chr4",187476455,"-","MTNR1A","1stExon","Island",4,187.476455
"cg13514230",0.651793461364219,-1.86575616858489,11.3477005117424,4.41676996610765e-23,1.74067977794323e-18,41.7499354584181,"chr3",62860224,"+","CADPS;CADPS;CADPS","Body;Body;Body","Island",3,62.860224
"cg20365074",0.466977911077828,-0.168355962803376,11.3285704561681,5.02957710098525e-23,1.95407514491018e-18,41.6229072818745,"chr2",189157191,"-","GULP1","TSS200","Island",2,189.157191
"cg14588027",0.474967154418107,-1.70145440483423,11.3270378587526,5.0821953523627e-23,1.95862098866438e-18,41.6127320710749,"chr1",212872986,"+","BATF3","Body","Island",1,212.872986
"cg26009773",0.68123721229805,-1.84491496491967,11.3188948092514,5.37111886586573e-23,2.00984142674214e-18,41.55867280573,"chr6",101329304,"+","ASCC3;ASCC3","TSS200;TSS200","Island",6,101.329304
"cg06787731",0.627982157699558,-2.10643733467816,11.3165414649253,5.45762991761976e-23,2.02009256723811e-18,41.5430509199875,"chr14",38069079,"+","","","Island",14,38.069079
"cg06691229",0.434427957492262,-1.67081391736954,11.3144094565969,5.53720405203325e-23,2.0222189336275e-18,41.5288987886596,"chr13",100621000,"+","ZIC5","Body","Island",13,100.621
"cg23209255",0.686064879912528,-2.12693950858247,11.3112483300778,5.65732397188472e-23,2.05240472467647e-18,41.5079162965208,"chr3",154797917,"-","MME;MME;MME;MME","TSS200;5'UTR;TSS200;5'UTR","Island",3,154.797917
"cg11489389",0.794550190053759,-1.20248197894601,11.2939291904853,6.36308946038448e-23,2.27277543565179e-18,41.3929759579812,"chr3",63849240,"-","ATXN7;ATXN7;THOC7","TSS1500;TSS1500;Body","Island",3,63.84924
"cg17875483",0.608237598566605,-1.87027965403613,11.2933252012477,6.38922738425751e-23,2.27277543565179e-18,41.388968078129,"chr15",47476436,"-","","","Island",15,47.476436
"cg07129253",0.55856034582384,-1.03287223116969,11.2691139923979,7.53007252938157e-23,2.59436417311025e-18,41.2283415460151,"chr8",30890560,"+","PURG;PURG;PURG;WRN","TSS1500;1stExon;5'UTR;TSS1500","OpenSea",8,30.89056
"cg24718866",0.8522192813318,-1.68586286241087,11.2603158771022,7.99319729790854e-23,2.7197160247443e-18,41.1699866816036,"chr2",25391274,"-","POMC;POMC","5'UTR;5'UTR","Island",2,25.391274
"cg26879581",0.446589814028432,-1.24802931668093,11.259011091377,8.06425841127422e-23,2.72695721852409e-18,41.161333184049,"chr17",46720029,"-","","","Island",17,46.720029
"cg24708006",0.589487828656241,-1.7382994130323,11.254453814668,8.31743768546889e-23,2.78456975712194e-18,41.1311101856192,"chr6",85483055,"+","","","Island",6,85.483055
"cg13807985",0.738374540095346,-1.16870871196138,11.2502482612316,8.55810623455843e-23,2.823068731265e-18,41.1032217047858,"chr12",66583255,"-","IRAK3;IRAK3","Body;Body","Island",12,66.583255
"cg21604516",0.756785998650622,0.382503543084813,11.2462804806761,8.79153325073192e-23,2.86671318944505e-18,41.0769117029906,"chr8",30890469,"+","PURG;PURG;PURG;WRN","TSS200;1stExon;5'UTR;TSS1500","OpenSea",8,30.890469
"cg18705900",0.72984394284126,-1.48807440826092,11.2426255982044,9.01216802025513e-23,2.92126851978761e-18,41.052677985682,"chr4",170192536,"-","SH3RF1","TSS1500","Island",4,170.192536
"cg26573274",0.730037300081464,2.80083073811204,11.2396667723276,9.19482330367403e-23,2.94561634313096e-18,41.033060520373,"chr13",110386152,"-","","","OpenSea",13,110.386152
"cg26870584",0.691563092769659,-1.96804884149126,11.2398637647948,9.18254855946176e-23,2.94561634313096e-18,41.0343665812822,"chr6",75914046,"-","COL12A1;COL12A1","5'UTR;5'UTR","N_Shore",6,75.914046
"cg15093079",0.713652982548054,-1.8866835312314,11.2352707429212,9.47304205165946e-23,3.01710150565062e-18,41.0039159075259,"chr3",96533290,"+","EPHA6","TSS200","Island",3,96.53329
"cg13458212",0.600683977641002,-0.978229792941817,11.2092294142416,1.13021422757715e-22,3.49797263002246e-18,40.8313108739316,"chr4",186456397,"+","PDLIM3;PDLIM3","Body;Body","Island",4,186.456397
"cg21895526",0.546641144094012,-1.07038274936141,11.2060621556116,1.15473845293237e-22,3.53394267512271e-18,40.8103229187641,"chr18",24765490,"+","CHST9","TSS1500","Island",18,24.76549
"cg05829482",0.435728954555382,-2.31505429646658,11.2048980581386,1.16388491223993e-22,3.54214582542897e-18,40.8026092590327,"chr2",210288514,"-","MAP2","TSS1500","Island",2,210.288514
"cg06510438",0.79868897836421,0.202907808072043,11.1960462799786,1.23583999526033e-22,3.70321500752606e-18,40.7439595593984,"chr18",11149763,"+","FAM38B","TSS1500","Island",18,11.149763
"cg21921460",0.42060624789086,-2.59467618709792,11.1909727588302,1.27906527891743e-22,3.80806006701662e-18,40.7103475291185,"chr5",11903441,"-","CTNND2","Body","N_Shore",5,11.903441
"cg24727311",0.629588592870055,-1.63072238713446,11.182063495937,1.35865133493064e-22,3.99680852798521e-18,40.6513305979884,"chr8",13424269,"-","C8orf48","TSS200","OpenSea",8,13.424269
"cg02908900",0.63329941639924,-1.88024852409281,11.171272336017,1.46169087361519e-22,4.22172623558907e-18,40.5798593108505,"chr7",15726821,"+","MEOX2","TSS1500","OpenSea",7,15.726821
"cg03286969",0.506133837131507,-2.29835699693722,11.1710142456101,1.46424842322608e-22,4.22172623558907e-18,40.5781501019126,"chr7",121784102,"+","AASS","5'UTR","Island",7,121.784102
"cg25012919",0.616564756762498,-0.875177727135213,11.1697981613682,1.47635942119073e-22,4.23435860983317e-18,40.5700966590718,"chr13",36705606,"+","DCLK1","TSS200","Island",13,36.705606
"cg23313650",0.561062734118517,-0.614370062631662,11.16630252601,1.51173178310822e-22,4.3132280265578e-18,40.546947945917,"chr7",123389169,"-","WASL","TSS200","Island",7,123.389169
"cg02866628",0.788102397015577,-1.47905491311489,11.1640635892752,1.5348304502592e-22,4.35644264914415e-18,40.5321220276029,"chr7",54612475,"-","VSTM2A","Body","Island",7,54.612475
"cg18526270",0.655856867856833,-2.39764382324391,11.1625942320563,1.55018051755349e-22,4.37733160448582e-18,40.5223924584978,"chr4",41216855,"-","APBB2;APBB2;APBB2","TSS1500;TSS1500;TSS1500","N_Shore",4,41.216855
"cg21215929",0.44711285459771,-1.95441180761773,11.1480303797252,1.71085649363184e-22,4.80626679184145e-18,40.4259687936997,"chr5",14873039,"-","ANKH","TSS1500","S_Shore",5,14.873039
"cg07098902",0.549505703733639,-1.79932338858855,11.1340198474967,1.88108138326704e-22,5.12672982689636e-18,40.3332310492304,"chr2",17720407,"+","VSNL1","TSS1500","Island",2,17.720407
"cg08330919",0.674882736603134,-1.60853433102114,11.1346889010341,1.87258115070833e-22,5.12672982689636e-18,40.3376591068647,"chr4",40058921,"+","LOC344967;N4BP2","TSS200;5'UTR","Island",4,40.058921
"cg16106678",0.519862074836955,-2.52865747731274,11.1331418515536,1.89229462025674e-22,5.13175942413156e-18,40.3274202061574,"chr12",120876210,"-","COX6A1","Body","Island",12,120.87621
"cg17579667",0.504480183424719,-1.49710271237566,11.1284978985824,1.95272279082564e-22,5.26954916043487e-18,40.2966865744349,"chr11",40315404,"+","LRRC4C;LRRC4C","5'UTR;1stExon","OpenSea",11,40.315404
"cg05754508",0.577826451906098,-1.90119237115179,11.1266466623805,1.97734465723309e-22,5.30983603684537e-18,40.2844357962074,"chr12",65672531,"+","MSRB3;MSRB3;MSRB3;MSRB3","1stExon;5'UTR;1stExon;5'UTR","Island",12,65.672531
"cg03235290",0.403489294247757,-2.03210870966018,11.1224695431726,2.03404491510036e-22,5.40906526457441e-18,40.2567946413777,"chr7",1286386,"-","","","Island",7,1.286386
"cg06495060",0.447765934956582,-2.15429563099772,11.1210583052617,2.05356526997586e-22,5.43459354681671e-18,40.2474565389137,"chr1",182993363,"+","LAMC1","Body","Island",1,182.993363
"cg10536076",1.45796684513482,-0.30543836026297,11.114197747625,2.1511560672001e-22,5.55859410025931e-18,40.2020637579219,"chr5",83017921,"-","HAPLN1","TSS1500","Island",5,83.017921
"cg16560711",0.53270392976487,-1.67757560188869,11.1102660285254,2.20915553381526e-22,5.68166460122146e-18,40.1760520251958,"chr8",93977794,"-","C8orf83","Body","Island",8,93.977794
"cg11508949",0.679304176820824,-1.76397797392845,11.1051678349432,2.28669097404897e-22,5.82636812389299e-18,40.1423256958774,"chr4",106067764,"-","TET2;TET2","TSS200;TSS200","Island",4,106.067764
"cg20962137",0.512560899157103,-2.25974864031004,11.0818133312432,2.6780474960676e-22,6.69889334881853e-18,39.9878658905453,"chr3",130064583,"-","COL29A1;COL29A1;COL29A1","5'UTR;Body;1stExon","Island",3,130.064583
"cg26177629",0.785619986011929,-1.51049211830985,11.0786239113861,2.73644017850809e-22,6.81384391470767e-18,39.9667769253171,"chr10",27793549,"+","RAB18","Body","Island",10,27.793549
"cg06395091",1.17405735783416,-2.97507716547096,11.0660860924316,2.97855629683905e-22,7.2842811186623e-18,39.8838863512543,"chr16",80574926,"-","DYNLRB2;DYNLRB2","1stExon;5'UTR","Island",16,80.574926
"cg18764577",0.742423858738884,-1.46740002801217,11.0572891479665,3.16107596089946e-22,7.69628811303345e-18,39.8257386342158,"chr18",7117790,"+","LAMA1;LAMA1","5'UTR;1stExon","Island",18,7.11779
"cg17883458",0.639542419863793,-2.33164571082126,11.0455695325395,3.42167797042947e-22,8.18526142485899e-18,39.7482862969582,"chr3",137489767,"+","","","Island",3,137.489767
"cg19193201",0.820412663007155,-1.0723774666584,11.046291872127,3.40501348833381e-22,8.18526142485899e-18,39.7530596080093,"chr18",30050907,"+","FAM59A","TSS1500","Island",18,30.050907
"cg07339137",0.487972864820569,-2.67673346012779,11.0422741825637,3.49874014041644e-22,8.33321822314777e-18,39.726510995911,"chr3",87276419,"+","CHMP2B;CHMP2B","1stExon;5'UTR","Island",3,87.276419
"cg09683324",0.769096796913164,-3.13287645577944,11.0384247506004,3.59095417892607e-22,8.44272893276714e-18,39.7010760206655,"chr12",49245857,"+","DDX23","5'UTR","Island",12,49.245857
